"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	0.956753126200963	2	4	1	4	"1;2"	"id_157"	100	5	4	2	0.8	2
2	0.857072182076866	2	2	1	6	"1;2"	"id_157"	100	5	4	2	0.8	2
3	0.662310186945989	1	1	1	7	"1;2"	"id_157"	100	5	4	2	0.8	2
4	0.740071984841851	2	3	1	10	"1;2"	"id_157"	100	5	4	2	0.8	2
5	0.915077695316657	2	5	1	15	"1;2"	"id_157"	100	5	4	2	0.8	2
6	0.927463728703397	2	1	1	16	"1;2"	"id_157"	100	5	4	2	0.8	2
7	0.566222980771231	2	2	1	18	"1;2"	"id_157"	100	5	4	2	0.8	2
8	0.788571357576032	2	1	1	19	"1;2"	"id_157"	100	5	4	2	0.8	2
9	1.10899200673235	2	2	1	21	"1;2"	"id_157"	100	5	4	2	0.8	2
10	0.5	2	3	1	24	"1;2"	"id_157"	100	5	4	2	0.8	2
11	1.17423349290703	1	1	1	25	"1;2"	"id_157"	100	5	4	2	0.8	2
12	0.975291706836873	2	-1	1	24	"1;2"	"id_157"	100	5	4	2	0.8	2
13	0.880676725604786	1	4	1	28	"1;2"	"id_157"	100	5	4	2	0.8	2
14	0.5	1	3	1	31	"1;2"	"id_157"	100	5	4	2	0.8	2
15	1.027103468102	1	5	1	36	"1;2"	"id_157"	100	5	4	2	0.8	2
16	0.610079469449175	1	3	1	39	"1;2"	"id_157"	100	5	4	2	0.8	2
17	0.883610250373648	1	4	1	43	"1;2"	"id_157"	100	5	4	2	0.8	2
18	0.774190736984496	1	6	1	49	"1;2"	"id_157"	100	5	4	2	0.8	2
19	0.926297162537598	1	3	1	52	"1;2"	"id_157"	100	5	4	2	0.8	2
20	1.02287112980658	1	3	1	55	"1;2"	"id_157"	100	5	4	2	0.8	2
1	1.23539129322886	1	12	2	12	"2;1"	"id_157"	100	5	4	2	0.8	2
2	1.14950505094161	1	12	2	24	"2;1"	"id_157"	100	5	4	2	0.8	2
3	0.5	1	0	2	24	"2;1"	"id_157"	100	5	4	2	0.8	2
