"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	0.696513087501746	2	5	1	5	"2;1"	"id_075"	0	3	NA	0	0.75	1
2	1.21137068530274	1	2	1	7	"2;1"	"id_075"	0	3	NA	0	0.75	1
3	0.972324167272803	1	4	1	11	"2;1"	"id_075"	0	3	NA	0	0.75	1
4	0.646703057115904	1	2	1	13	"2;1"	"id_075"	0	3	NA	0	0.75	1
5	1.20012118347472	2	3	1	16	"2;1"	"id_075"	0	3	NA	0	0.75	1
6	0.792153273462531	1	0	1	16	"2;1"	"id_075"	0	3	NA	0	0.75	1
7	0.5	1	1	1	17	"2;1"	"id_075"	0	3	NA	0	0.75	1
8	0.80211196915033	1	4	1	21	"2;1"	"id_075"	0	3	NA	0	0.75	1
9	1.1332490039975	1	-3	1	18	"2;1"	"id_075"	0	3	NA	0	0.75	1
10	1.03695150148209	2	4	1	22	"2;1"	"id_075"	0	3	NA	0	0.75	1
11	0.634033776152863	2	3	1	25	"2;1"	"id_075"	0	3	NA	0	0.75	1
12	0.945435353951533	2	1	1	26	"2;1"	"id_075"	0	3	NA	0	0.75	1
13	1.06351619445696	2	4	1	30	"2;1"	"id_075"	0	3	NA	0	0.75	1
14	0.729092994581311	1	4	1	34	"2;1"	"id_075"	0	3	NA	0	0.75	1
15	0.591624394317821	2	7	1	41	"2;1"	"id_075"	0	3	NA	0	0.75	1
16	0.928703506523373	2	0	1	41	"2;1"	"id_075"	0	3	NA	0	0.75	1
17	0.5	2	4	1	45	"2;1"	"id_075"	0	3	NA	0	0.75	1
18	0.922073858714462	2	3	1	48	"2;1"	"id_075"	0	3	NA	0	0.75	1
19	0.5	2	3	1	51	"2;1"	"id_075"	0	3	NA	0	0.75	1
20	1.13981511156302	2	1	1	52	"2;1"	"id_075"	0	3	NA	0	0.75	1
1	1.12221009089039	1	-2	2	-2	"2;1"	"id_075"	0	3	NA	0	0.75	1
2	0.778004073382179	2	2	2	0	"2;1"	"id_075"	0	3	NA	0	0.75	1
3	0.94020561436174	1	6	2	6	"2;1"	"id_075"	0	3	NA	0	0.75	1
4	0.5	1	6	2	12	"2;1"	"id_075"	0	3	NA	0	0.75	1
5	0.8405120381715	1	8	2	20	"2;1"	"id_075"	0	3	NA	0	0.75	1
6	0.831187068915645	1	11	2	31	"2;1"	"id_075"	0	3	NA	0	0.75	1
7	0.5	1	26	2	57	"2;1"	"id_075"	0	3	NA	0	0.75	1
8	0.690243187340853	2	4	2	61	"2;1"	"id_075"	0	3	NA	0	0.75	1
9	0.932743304408252	2	5	2	66	"2;1"	"id_075"	0	3	NA	0	0.75	1
10	0.647594128017795	2	2	2	68	"2;1"	"id_075"	0	3	NA	0	0.75	1
11	0.878589569710961	2	1	2	69	"2;1"	"id_075"	0	3	NA	0	0.75	1
12	1.00436377579136	1	-11	2	58	"2;1"	"id_075"	0	3	NA	0	0.75	1
13	0.544095844652239	1	14	2	72	"2;1"	"id_075"	0	3	NA	0	0.75	1
14	0.5	2	5	2	77	"2;1"	"id_075"	0	3	NA	0	0.75	1
15	0.703248415368941	2	6	2	83	"2;1"	"id_075"	0	3	NA	0	0.75	1
16	0.824574895618991	2	-1	2	82	"2;1"	"id_075"	0	3	NA	0	0.75	1
17	0.599304966175322	1	3	2	85	"2;1"	"id_075"	0	3	NA	0	0.75	1
18	0.684840086847421	2	3	2	88	"2;1"	"id_075"	0	3	NA	0	0.75	1
19	0.545169209197332	1	4	2	92	"2;1"	"id_075"	0	3	NA	0	0.75	1
20	0.847938642410236	1	10	2	102	"2;1"	"id_075"	0	3	NA	0	0.75	1
21	1.06871922480255	1	13	2	115	"2;1"	"id_075"	0	3	NA	0	0.75	1
22	0.964631377601123	1	4	2	119	"2;1"	"id_075"	0	3	NA	0	0.75	1
23	0.536798230767362	1	-3	2	116	"2;1"	"id_075"	0	3	NA	0	0.75	1
24	0.66260602267441	2	2	2	118	"2;1"	"id_075"	0	3	NA	0	0.75	1
25	1.2225323648198	2	4	2	122	"2;1"	"id_075"	0	3	NA	0	0.75	1
1	0.739122894101479	2	4	3	4	"2;1"	"id_075"	0	3	NA	0	0.75	1
2	0.566573654160925	1	-18	3	-14	"2;1"	"id_075"	0	3	NA	0	0.75	1
3	0.5	2	5	3	-9	"2;1"	"id_075"	0	3	NA	0	0.75	1
4	0.664417694007196	2	2	3	-7	"2;1"	"id_075"	0	3	NA	0	0.75	1
5	0.599983164193259	1	1	3	-6	"2;1"	"id_075"	0	3	NA	0	0.75	1
6	0.892998950483926	2	4	3	-2	"2;1"	"id_075"	0	3	NA	0	0.75	1
7	0.887524678343911	1	-16	3	-18	"2;1"	"id_075"	0	3	NA	0	0.75	1
8	0.5	2	3	3	-15	"2;1"	"id_075"	0	3	NA	0	0.75	1
9	1.02183253319607	2	4	3	-11	"2;1"	"id_075"	0	3	NA	0	0.75	1
10	0.655738928947804	2	1	3	-10	"2;1"	"id_075"	0	3	NA	0	0.75	1
11	0.741192516571321	1	-9	3	-19	"2;1"	"id_075"	0	3	NA	0	0.75	1
12	0.722134166886748	2	3	3	-16	"2;1"	"id_075"	0	3	NA	0	0.75	1
13	0.508630749764255	2	1	3	-15	"2;1"	"id_075"	0	3	NA	0	0.75	1
14	0.5	2	-2	3	-17	"2;1"	"id_075"	0	3	NA	0	0.75	1
15	1.01002534587187	1	6	3	-11	"2;1"	"id_075"	0	3	NA	0	0.75	1
16	0.635473340770322	2	0	3	-11	"2;1"	"id_075"	0	3	NA	0	0.75	1
17	0.876302557001534	2	2	3	-9	"2;1"	"id_075"	0	3	NA	0	0.75	1
18	0.665630151709433	1	-1	3	-10	"2;1"	"id_075"	0	3	NA	0	0.75	1
19	0.5	2	4	3	-6	"2;1"	"id_075"	0	3	NA	0	0.75	1
20	1.35128341964345	2	2	3	-4	"2;1"	"id_075"	0	3	NA	0	0.75	1
21	0.656400718923199	2	2	3	-2	"2;1"	"id_075"	0	3	NA	0	0.75	1
22	0.941969195795465	2	3	3	1	"2;1"	"id_075"	0	3	NA	0	0.75	1
23	0.835308468755723	2	4	3	5	"2;1"	"id_075"	0	3	NA	0	0.75	1
24	0.93832647951515	2	6	3	11	"2;1"	"id_075"	0	3	NA	0	0.75	1
25	0.835059873056324	1	14	3	25	"2;1"	"id_075"	0	3	NA	0	0.75	1
1	0.764031624009419	1	20	4	20	"2;1"	"id_075"	0	3	NA	0	0.75	1
2	0.534538859913229	1	4	4	24	"2;1"	"id_075"	0	3	NA	0	0.75	1
3	1.08855614047601	2	6	4	30	"2;1"	"id_075"	0	3	NA	0	0.75	1
4	0.901743776071408	2	2	4	32	"2;1"	"id_075"	0	3	NA	0	0.75	1
5	0.5	2	1	4	33	"2;1"	"id_075"	0	3	NA	0	0.75	1
6	0.781305751591773	1	5	4	38	"2;1"	"id_075"	0	3	NA	0	0.75	1
7	1.0120232434439	1	0	4	38	"2;1"	"id_075"	0	3	NA	0	0.75	1
8	0.932968403751471	1	-4	4	34	"2;1"	"id_075"	0	3	NA	0	0.75	1
