"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	0.607830468612881	2	6	1	6	"2;1"	"id_200"	0	3	NA	0	0.54	3
2	0.608634856562734	2	4	1	10	"2;1"	"id_200"	0	3	NA	0	0.54	3
3	0.813837198712455	2	3	1	13	"2;1"	"id_200"	0	3	NA	0	0.54	3
4	0.5	2	3	1	16	"2;1"	"id_200"	0	3	NA	0	0.54	3
5	0.612480890684856	2	1	1	17	"2;1"	"id_200"	0	3	NA	0	0.54	3
6	0.794750347374416	2	0	1	17	"2;1"	"id_200"	0	3	NA	0	0.54	3
7	0.872676359561498	2	2	1	19	"2;1"	"id_200"	0	3	NA	0	0.54	3
8	0.5	2	5	1	24	"2;1"	"id_200"	0	3	NA	0	0.54	3
9	1.11937373443693	2	1	1	25	"2;1"	"id_200"	0	3	NA	0	0.54	3
10	0.5	2	1	1	26	"2;1"	"id_200"	0	3	NA	0	0.54	3
11	0.5	2	3	1	29	"2;1"	"id_200"	0	3	NA	0	0.54	3
12	0.920219041028638	2	3	1	32	"2;1"	"id_200"	0	3	NA	0	0.54	3
13	0.879549667105991	2	2	1	34	"2;1"	"id_200"	0	3	NA	0	0.54	3
14	1.01129174679786	2	-1	1	33	"2;1"	"id_200"	0	3	NA	0	0.54	3
15	0.805333403807071	2	4	1	37	"2;1"	"id_200"	0	3	NA	0	0.54	3
16	0.842862803870843	2	7	1	44	"2;1"	"id_200"	0	3	NA	0	0.54	3
17	0.687519149755357	2	5	1	49	"2;1"	"id_200"	0	3	NA	0	0.54	3
18	0.686602257027228	2	5	1	54	"2;1"	"id_200"	0	3	NA	0	0.54	3
19	1.04905030795158	2	1	1	55	"2;1"	"id_200"	0	3	NA	0	0.54	3
20	1.08937370843119	2	2	1	57	"2;1"	"id_200"	0	3	NA	0	0.54	3
1	0.886394345046482	1	8	2	8	"2;1"	"id_200"	0	3	NA	0	0.54	3
2	1.47687214646817	1	1	2	9	"2;1"	"id_200"	0	3	NA	0	0.54	3
3	0.5	1	3	2	12	"2;1"	"id_200"	0	3	NA	0	0.54	3
4	1.27192940888579	1	9	2	21	"2;1"	"id_200"	0	3	NA	0	0.54	3
5	0.972971923311552	1	3	2	24	"2;1"	"id_200"	0	3	NA	0	0.54	3
6	0.998528565934937	1	29	2	53	"2;1"	"id_200"	0	3	NA	0	0.54	3
7	0.5	1	9	2	62	"2;1"	"id_200"	0	3	NA	0	0.54	3
8	1.31266339805202	1	13	2	75	"2;1"	"id_200"	0	3	NA	0	0.54	3
9	0.5	1	2	2	77	"2;1"	"id_200"	0	3	NA	0	0.54	3
10	1.1856166725618	1	11	2	88	"2;1"	"id_200"	0	3	NA	0	0.54	3
11	0.522377641366709	1	3	2	91	"2;1"	"id_200"	0	3	NA	0	0.54	3
12	0.704067398708086	1	12	2	103	"2;1"	"id_200"	0	3	NA	0	0.54	3
13	1.3791848358923	1	3	2	106	"2;1"	"id_200"	0	3	NA	0	0.54	3
14	0.792665256954387	1	8	2	114	"2;1"	"id_200"	0	3	NA	0	0.54	3
15	0.554304883608072	1	-3	2	111	"2;1"	"id_200"	0	3	NA	0	0.54	3
16	0.817192335085284	1	-11	2	100	"2;1"	"id_200"	0	3	NA	0	0.54	3
17	0.970190205390191	1	32	2	132	"2;1"	"id_200"	0	3	NA	0	0.54	3
18	0.684641299075042	1	-17	2	115	"2;1"	"id_200"	0	3	NA	0	0.54	3
19	0.814998136979209	1	-3	2	112	"2;1"	"id_200"	0	3	NA	0	0.54	3
20	0.759296823129806	1	-21	2	91	"2;1"	"id_200"	0	3	NA	0	0.54	3
21	0.5	2	8	2	99	"2;1"	"id_200"	0	3	NA	0	0.54	3
22	0.535360888429809	2	1	2	100	"2;1"	"id_200"	0	3	NA	0	0.54	3
23	0.63070631346228	2	3	2	103	"2;1"	"id_200"	0	3	NA	0	0.54	3
24	0.516685108513106	2	0	2	103	"2;1"	"id_200"	0	3	NA	0	0.54	3
25	0.983592780724972	2	5	2	108	"2;1"	"id_200"	0	3	NA	0	0.54	3
1	1.05422642393834	1	1	3	1	"1;2"	"id_200"	0	3	NA	0	0.54	3
2	0.514511334003201	1	5	3	6	"1;2"	"id_200"	0	3	NA	0	0.54	3
3	0.5	1	2	3	8	"1;2"	"id_200"	0	3	NA	0	0.54	3
4	1.16863210366271	1	3	3	11	"1;2"	"id_200"	0	3	NA	0	0.54	3
5	0.5	1	1	3	12	"1;2"	"id_200"	0	3	NA	0	0.54	3
6	0.616897411860386	1	2	3	14	"1;2"	"id_200"	0	3	NA	0	0.54	3
7	0.919032248426226	1	3	3	17	"1;2"	"id_200"	0	3	NA	0	0.54	3
8	0.823304471524196	1	9	3	26	"1;2"	"id_200"	0	3	NA	0	0.54	3
9	1.03125665622542	1	3	3	29	"1;2"	"id_200"	0	3	NA	0	0.54	3
10	0.598382306957162	1	2	3	31	"1;2"	"id_200"	0	3	NA	0	0.54	3
11	0.973733281836707	1	1	3	32	"1;2"	"id_200"	0	3	NA	0	0.54	3
12	1.22950089861905	1	2	3	34	"1;2"	"id_200"	0	3	NA	0	0.54	3
13	0.745389180453926	1	-4	3	30	"1;2"	"id_200"	0	3	NA	0	0.54	3
14	1.07036979292622	1	-7	3	23	"1;2"	"id_200"	0	3	NA	0	0.54	3
15	0.618586445482711	2	4	3	27	"1;2"	"id_200"	0	3	NA	0	0.54	3
16	0.577423305681541	2	5	3	32	"1;2"	"id_200"	0	3	NA	0	0.54	3
17	0.5	2	-8	3	24	"1;2"	"id_200"	0	3	NA	0	0.54	3
18	0.5	2	-17	3	7	"1;2"	"id_200"	0	3	NA	0	0.54	3
19	1.30152606720837	1	1	3	8	"1;2"	"id_200"	0	3	NA	0	0.54	3
20	0.832120211568443	1	7	3	15	"1;2"	"id_200"	0	3	NA	0	0.54	3
21	0.61287229290449	1	1	3	16	"1;2"	"id_200"	0	3	NA	0	0.54	3
22	0.911510738093632	1	-1	3	15	"1;2"	"id_200"	0	3	NA	0	0.54	3
23	0.909763894155108	1	-1	3	14	"1;2"	"id_200"	0	3	NA	0	0.54	3
24	0.74403784558749	1	4	3	18	"1;2"	"id_200"	0	3	NA	0	0.54	3
25	0.899077916841936	1	0	3	18	"1;2"	"id_200"	0	3	NA	0	0.54	3
1	0.749350570137781	1	11	4	11	"2;1"	"id_200"	0	3	NA	0	0.54	3
2	0.580376156676454	1	4	4	15	"2;1"	"id_200"	0	3	NA	0	0.54	3
3	0.780617156951226	1	-15	4	0	"2;1"	"id_200"	0	3	NA	0	0.54	3
4	0.5	2	2	4	2	"2;1"	"id_200"	0	3	NA	0	0.54	3
5	0.938612816279518	2	4	4	6	"2;1"	"id_200"	0	3	NA	0	0.54	3
6	0.833329666376399	2	4	4	10	"2;1"	"id_200"	0	3	NA	0	0.54	3
7	0.676832554346705	2	-1	4	9	"2;1"	"id_200"	0	3	NA	0	0.54	3
8	0.638581720763719	2	6	4	15	"2;1"	"id_200"	0	3	NA	0	0.54	3
9	0.877450326996667	2	2	4	17	"2;1"	"id_200"	0	3	NA	0	0.54	3
10	0.945790363209421	2	1	4	18	"2;1"	"id_200"	0	3	NA	0	0.54	3
11	0.950849837455676	2	0	4	18	"2;1"	"id_200"	0	3	NA	0	0.54	3
12	0.949052071826243	2	-4	4	14	"2;1"	"id_200"	0	3	NA	0	0.54	3
13	0.5	2	1	4	15	"2;1"	"id_200"	0	3	NA	0	0.54	3
14	0.680550171249582	2	4	4	19	"2;1"	"id_200"	0	3	NA	0	0.54	3
15	0.970774942953973	2	2	4	21	"2;1"	"id_200"	0	3	NA	0	0.54	3
16	0.618507818651935	2	3	4	24	"2;1"	"id_200"	0	3	NA	0	0.54	3
17	0.967316642480959	2	-4	4	20	"2;1"	"id_200"	0	3	NA	0	0.54	3
18	1.19290224712817	2	3	4	23	"2;1"	"id_200"	0	3	NA	0	0.54	3
19	0.599540544569133	2	5	4	28	"2;1"	"id_200"	0	3	NA	0	0.54	3
20	0.983242878879531	2	7	4	35	"2;1"	"id_200"	0	3	NA	0	0.54	3
21	0.544902962225669	2	4	4	39	"2;1"	"id_200"	0	3	NA	0	0.54	3
22	0.681683885472645	2	6	4	45	"2;1"	"id_200"	0	3	NA	0	0.54	3
23	0.5	2	5	4	50	"2;1"	"id_200"	0	3	NA	0	0.54	3
24	0.5	2	9	4	59	"2;1"	"id_200"	0	3	NA	0	0.54	3
25	0.941475875730651	2	0	4	59	"2;1"	"id_200"	0	3	NA	0	0.54	3
1	0.561746742800887	1	0	5	0	"1;2"	"id_200"	0	3	NA	0	0.54	3
2	0.954229381110533	1	3	5	3	"1;2"	"id_200"	0	3	NA	0	0.54	3
3	1.17882623725198	1	1	5	4	"1;2"	"id_200"	0	3	NA	0	0.54	3
4	0.955847211645748	1	1	5	5	"1;2"	"id_200"	0	3	NA	0	0.54	3
5	0.5	1	3	5	8	"1;2"	"id_200"	0	3	NA	0	0.54	3
6	1.22492610918097	1	5	5	13	"1;2"	"id_200"	0	3	NA	0	0.54	3
7	0.883686509185371	1	0	5	13	"1;2"	"id_200"	0	3	NA	0	0.54	3
8	0.773300990130049	1	5	5	18	"1;2"	"id_200"	0	3	NA	0	0.54	3
9	0.76034398769848	1	0	5	18	"1;2"	"id_200"	0	3	NA	0	0.54	3
10	1.07261584680846	1	5	5	23	"1;2"	"id_200"	0	3	NA	0	0.54	3
11	0.839368122609483	1	5	5	28	"1;2"	"id_200"	0	3	NA	0	0.54	3
12	0.968411058256618	1	5	5	33	"1;2"	"id_200"	0	3	NA	0	0.54	3
13	0.620446828830234	1	3	5	36	"1;2"	"id_200"	0	3	NA	0	0.54	3
14	0.927702957922374	1	0	5	36	"1;2"	"id_200"	0	3	NA	0	0.54	3
15	0.56970699150675	1	-1	5	35	"1;2"	"id_200"	0	3	NA	0	0.54	3
16	0.516906659140752	1	3	5	38	"1;2"	"id_200"	0	3	NA	0	0.54	3
17	0.992913022194737	1	6	5	44	"1;2"	"id_200"	0	3	NA	0	0.54	3
18	1.1817884144587	1	3	5	47	"1;2"	"id_200"	0	3	NA	0	0.54	3
19	0.798921798259211	1	4	5	51	"1;2"	"id_200"	0	3	NA	0	0.54	3
20	0.880660084902372	1	0	5	51	"1;2"	"id_200"	0	3	NA	0	0.54	3
