"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	0.965342938678891	2	6	1	6	"1;2"	"id_107"	100	5	5	0	1	2
2	0.5	1	2	1	8	"1;2"	"id_107"	100	5	5	0	1	2
3	0.916334086538037	1	5	1	13	"1;2"	"id_107"	100	5	5	0	1	2
4	0.549003810257767	2	4	1	17	"1;2"	"id_107"	100	5	5	0	1	2
5	0.839149468494798	1	5	1	22	"1;2"	"id_107"	100	5	5	0	1	2
6	0.507887150718101	1	1	1	23	"1;2"	"id_107"	100	5	5	0	1	2
7	0.581638845751897	2	4	1	27	"1;2"	"id_107"	100	5	5	0	1	2
8	0.527368907322376	2	-1	1	26	"1;2"	"id_107"	100	5	5	0	1	2
9	0.984166180079439	2	4	1	30	"1;2"	"id_107"	100	5	5	0	1	2
10	1.00347990343537	1	2	1	32	"1;2"	"id_107"	100	5	5	0	1	2
11	0.682537865497144	2	2	1	34	"1;2"	"id_107"	100	5	5	0	1	2
12	0.808974934064632	2	0	1	34	"1;2"	"id_107"	100	5	5	0	1	2
13	0.671925630678593	1	5	1	39	"1;2"	"id_107"	100	5	5	0	1	2
14	0.901625868191202	1	3	1	42	"1;2"	"id_107"	100	5	5	0	1	2
15	0.763956110333924	1	2	1	44	"1;2"	"id_107"	100	5	5	0	1	2
16	1.14062761680271	1	-1	1	43	"1;2"	"id_107"	100	5	5	0	1	2
17	0.965163295243421	2	0	1	43	"1;2"	"id_107"	100	5	5	0	1	2
18	1.37209598000008	1	5	1	48	"1;2"	"id_107"	100	5	5	0	1	2
19	0.5	1	5	1	53	"1;2"	"id_107"	100	5	5	0	1	2
20	1.1881816277802	2	3	1	56	"1;2"	"id_107"	100	5	5	0	1	2
1	1.08693862582556	2	-3	2	-3	"1;2"	"id_107"	100	5	5	0	1	2
2	0.5	1	2	2	-1	"1;2"	"id_107"	100	5	5	0	1	2
3	0.5	2	-10	2	-11	"1;2"	"id_107"	100	5	5	0	1	2
4	0.987572181947714	1	3	2	-8	"1;2"	"id_107"	100	5	5	0	1	2
5	0.926144665796776	2	11	2	3	"1;2"	"id_107"	100	5	5	0	1	2
6	0.702003328799878	2	-7	2	-4	"1;2"	"id_107"	100	5	5	0	1	2
7	0.857692296818049	1	6	2	2	"1;2"	"id_107"	100	5	5	0	1	2
8	0.562171120170143	1	5	2	7	"1;2"	"id_107"	100	5	5	0	1	2
9	0.554245203149956	1	6	2	13	"1;2"	"id_107"	100	5	5	0	1	2
10	0.524483216242488	1	-1	2	12	"1;2"	"id_107"	100	5	5	0	1	2
11	0.595143252592423	1	7	2	19	"1;2"	"id_107"	100	5	5	0	1	2
12	0.990344707675236	2	-16	2	3	"1;2"	"id_107"	100	5	5	0	1	2
13	0.570323785914926	2	24	2	27	"1;2"	"id_107"	100	5	5	0	1	2
14	0.983643835009575	2	-16	2	11	"1;2"	"id_107"	100	5	5	0	1	2
15	0.747657279800083	2	0	2	11	"1;2"	"id_107"	100	5	5	0	1	2
16	0.784025011798663	1	8	2	19	"1;2"	"id_107"	100	5	5	0	1	2
17	1.22096305749799	2	12	2	31	"1;2"	"id_107"	100	5	5	0	1	2
18	0.622083686353277	2	4	2	35	"1;2"	"id_107"	100	5	5	0	1	2
19	0.836618253606695	1	4	2	39	"1;2"	"id_107"	100	5	5	0	1	2
20	0.980278077755022	1	5	2	44	"1;2"	"id_107"	100	5	5	0	1	2
21	0.933004477858985	2	8	2	52	"1;2"	"id_107"	100	5	5	0	1	2
22	0.930339106532373	2	-7	2	45	"1;2"	"id_107"	100	5	5	0	1	2
23	1.11556850534101	2	3	2	48	"1;2"	"id_107"	100	5	5	0	1	2
24	1.10008691384912	2	-4	2	44	"1;2"	"id_107"	100	5	5	0	1	2
25	0.846184257697956	2	-6	2	38	"1;2"	"id_107"	100	5	5	0	1	2
1	0.957901147329839	2	5	3	5	"2;1"	"id_107"	100	5	5	0	1	2
2	0.603458831174667	2	5	3	10	"2;1"	"id_107"	100	5	5	0	1	2
3	0.93541444114669	2	3	3	13	"2;1"	"id_107"	100	5	5	0	1	2
4	0.5	2	6	3	19	"2;1"	"id_107"	100	5	5	0	1	2
